"Estimate","Std. Error","t value","Pr(>|t|)","Predictor","Metric"
5.666,3.993,1.419,0.178,"(Intercept)","Degree"
0.621,0.26,2.385,0.033,"(Intercept)","Eigenvector"
-0.581,0.251,-2.318,0.037,"GUTHG","Eigenvector"
7.409,20.165,0.367,0.719,"(Intercept)","Betweenness"
0.121,0.022,5.423,0,"(Intercept)","Closeness"
-0.06,0.022,-2.782,0.016,"GUTHG","Closeness"
