"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"MSW93_Order" 2 1.013 0.196 1.998 0.007
"GUT" 1 0.526 0.102 2.075 0.015
"log(BM_KG)" 1 0.188 0.036 0.739 0.724
"GS" 1 0.097 0.019 0.383 0.986
"UNDERSTORY_SP_MEAN" 1 0.312 0.06 1.229 0.23
"Residual" 9 2.282 0.442 NA NA
"Total" 15 5.16 1 NA NA
"MSW93_Order1" 2 0.094 0.04 0.581 0.79
"GUT1" 1 0.327 0.138 4.042 0.011
"log(BM_KG)1" 1 0.042 0.018 0.524 0.688
"GS1" 1 0.056 0.024 0.693 0.593
"UNDERSTORY_SP_MEAN1" 1 0.03 0.013 0.368 0.831
"Residual1" 9 0.727 0.307 NA NA
"Total1" 15 2.37 1 NA NA
