Df SumOfSqs R2 F Pr(>F)
1 0.399 0.07 1.276 0.23
1 0.299 0.053 0.958 0.513
1 0.126 0.022 0.402 0.969
2 1.074 0.189 1.718 0.033
1 0.349 0.061 1.117 0.326
9 2.814 0.494 NA NA
15 5.69 1 NA NA
1 0.034 0.012 0.413 0.811
1 0.071 0.026 0.861 0.489
2 1.096 0.398 6.694 0.001
1 0.05 0.018 0.607 0.655
10 0.819 0.297 NA NA
15 2.755 1 NA NA
