"Species","pd.obs","pd.obs.z"
"Buffalo",1.28717624865011,-0.672389494333238
"Camel",1.24865802354602,-0.784905342700967
"Cattle",1.00109660147331,-0.432611631770316
"DikDik",1.36070228131969,-0.400011589387825
"Donkey",1.17199748085714,-0.715477932717124
"Eland",1.20669253026174,-0.341917852488882
"Elephant",1.17736596269352,-1.54550550132644
"Giraffe",1.48779321496875,-0.336866903126712
"Grants gazelle",1.46542281550632,-1.04807054631222
"Grevys zebra",1.35583367001918,-1.30087000453252
"Hartebeest",1.39468752079209,-0.33829651786104
"Hippo",1.07450696887044,-0.701385047972132
"Impala",1.39940042241797,-0.850389796370501
"Kudu",1.47097735979005,0.219266575583746
"Oryx",1.24757266893877,-0.811978937375243
"Plains zebra",1.42313076568629,-1.21095079660163
"Warthog",0.999043727480051,-0.126811571352109
