Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Loxodonta africana,Strongylida,"Cylicocyclus gyalocephaloides (Ortlepp, 1938)",Strongylidae,Cylicocyclus,Cylicocyclus gyalocephaloides,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus gyalocephaloides (Ortlepp, 1938)",Strongylidae,Cylicocyclus,Cylicocyclus gyalocephaloides,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus insigne (Boulenger, 1917)",Strongylidae,Cylicocyclus,Cylicocyclus insigne,,6,"Zimbabwe, Zambia","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",van den Berghe (1943),LeRoux (1932),Monnig (1928),"Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",,,,,,,
Equus asinus,Strongylida,"Cylicocyclus insigne (Boulenger, 1917)",Strongylidae,Cylicocyclus,Cylicocyclus insigne,,6,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicocyclus triramosus,Strongylidae,Cylicocyclus,Cylicocyclus triramosus,,3,"South Africa, Zambia",Monnig (1928),Yorke and Mcfie (1920b),"Kharchenko, V. A., G. M. Dvojnos, et al. (1997). ""A redescription of Cylicocyclus triramosus (Nematoda: Strongyloidea): A parasite of the zebra, Equus burchelli antiquorum."" Journal of Parasitology 83(5): 922-926.",,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus leptostomus (Kotlan, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus leptostomus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus leptostomus (Kotlan, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus leptostomus,,5,,,,,,,,,,,,,,
Equus asinus,Strongylida,Cylicocyclus minutus,Strongylidae,Cylicocyclus,Cylicocyclus minutus,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus nassatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus nassatus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus nassatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus nassatus,,8,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus radiatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus radiatus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus radiatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus radiatus,,9,,,,,,,,,,,,,,
Equus asinus,Strongylida,Cylicocyclus sp.,Strongylidae,Cylicocyclus,Cylicocyclus sp.,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus triramosus (Yorke & Macfie, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus triramosus,,3,Namibia,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.","(Kharchenko, V.A., et al.,) (1997) 'A redescription of Cylicocyclus triramosus (Nematoda: Strongyloidea): a parasite of the zebra, Equus burchelli antiquorum.' Journal of Parasitology. Urbana, Ill. 83(5): 922-926 , 17 figs, 1 tab.","(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.",,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus triramosus (Yorke & Macfie, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus triramosus,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus ultrajectinus (Ihle, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus ultrajectinus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus ultrajectinus (Ihle, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus ultrajectinus,,2,,,,,,,,,,,,,,
Equus grevyi,Strongylida,Cylicocyclus nassaltum,Strongylidae,Cylicocyclus,Cylicocyclus nassaltum,,1,London Zoo,Vevers (1920 and 1922b),,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicodontophorus bicoronatus (Looss, 1900)",Strongylidae,Cylicodontophorus,Cylicodontophorus bicoronatus,,8,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicodontophorus euproctus (Boulenger, 1917)",Strongylidae,Cylicodontophorus,Cylicodontophorus euproctus,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicodontophorus mettami (Leiper, 1913)",Strongylidae,Cylicodontophorus,Cylicodontophorus mettami,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicodontophorus zhongweiensis Li & Li, 1993",Strongylidae,Cylicodontophorus,Cylicodontophorus zhongweiensis,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicodontophorus reineckei Scialdo Krecek & Malan, 1984",Strongylidae,Cylicodontophorus,Cylicodontophorus reineckei,,1,Namibia,"(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.",,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicodontophorus schurmanni,Strongylidae,Cylicodontophorus,Cylicodontophorus schurmanni,,1,South Africa,Ortlepp (1962b),,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus asymetricus (Theiler, 1923)",Strongylidae,Cylicostephanus,Cylicostephanus asymetricus,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus calicatus (Looss, 1900)",Strongylidae,Cylicostephanus,Cylicostephanus calicatus,,6,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus goldi (Boulenger, 1917)",Strongylidae,Cylicostephanus,Cylicostephanus goldi,,4,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus hybridus (Kotlan, 1920)",Strongylidae,Cylicostephanus,Cylicostephanus hybridus,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicostephanus calicatus (Looss, 1900)",Strongylidae,Cylicostephanus,Cylicostephanus calicatus,,1,Namibia,"(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.",,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicostephanus longibursatus (Yorke & Macfie, 1918)",Strongylidae,Cylicostephanus,Cylicostephanus longibursatus,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus longibursatus (Yorke & Macfie, 1918)",Strongylidae,Cylicostephanus,Cylicostephanus longibursatus,,5,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicostephanus minutus (Yorke & Macfie, 1918)",Strongylidae,Cylicostephanus,Cylicostephanus minutus,,2,"Ukraine Zoo, Namibia","(Dvojnos, G.M. & Harcenko, V.A.,) (1990) 'Morphology and differential diagnostics of parasitic larvae of some Strongylidae (Nematoda) of horses.' Angewandte Parasitologie. Jena 31: 15-28 , 9 figs","(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.",,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus minutus (Yorke & Macfie, 1918)",Strongylidae,Cylicostephanus,Cylicostephanus minutus,,7,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus ornatus (Kotlan, 1919)",Strongylidae,Cylicostephanus,Cylicostephanus ornatus,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicostephanus poculatus (Looss, 1900)",Strongylidae,Cylicostephanus,Cylicostephanus poculatus,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicostephanus (Skrjabinodentus) longicous,Strongylidae,Cylicostephanus,Cylicostephanus longiconus,,1,Namibia,"(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicotetrapedon asymmetricus (Theiler, 1923)",Strongylidae,Cylicotetrapedon,Cylicotetrapedon asymmetricus,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylindropharynx brevicauda Leiper, 1911",Strongylidae,Cylindropharynx,Cylindropharynx brevicauda,,3,"Ethiopia, South Africa, Kenya","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Ortlepp (1962b),Round (Original),,,,,,,,,,
Equus asinus,Strongylida,"Cylindropharynx brevicauda Leiper, 1911",Strongylidae,Cylindropharynx,Cylindropharynx brevicauda,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylindropharynx dollfusi,Strongylidae,Cylindropharynx,Cylindropharynx dollfusi,,1,Congo,Le Van Hoa (1962),,,,,,,,,,,,
Equus burchelli,Strongylida,Cylindropharynx intermedia,Strongylidae,Cylindropharynx,Cylindropharynx intermedia,,2,"Zambia, South Africa",LeRoux (1932),Monnig (1928),,,,,,,,,,,
Equus burchelli,Strongylida,"Cylindropharynx ornata Cram, 1924",Strongylidae,Cylindropharynx,Cylindropharynx ornata,,3,"Zimbabwe, Zambia, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1932),Monnig (1928),,,,,,,,,,
Equus burchelli,Strongylida,Cylindropharynx longicauda,Strongylidae,Cylindropharynx,Cylindropharynx longicauda,,3,"Zambia, South Africa, Kenya",LeRoux (1932),Monnig (1928),Round (Original),,,,,,,,,,
Equus burchelli,Strongylida,Cylindropharynx rhodesiensis,Strongylidae,Cylindropharynx,Cylindropharynx rhodesiensis,,2,"Zambia, Rwansa",LeRoux (1932),van den Berghe (1943),,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Daubneyia oldi (Goodey, 1924)",Chabertiidae,Daubneyia,Daubneyia oldi,Oesophagostomum oldi,3,Somalia,"(Iori, A. & Lanfranchi, P.,) (1994) 'Nematodes in wild mammals from Somalia.' Parassitologia. Roma 36 Suppl. 1: 82","(Iori, A. & Lanfranchi, P.,) (1994) 'Parasites of Phacochoerus aethiopicus (Pallas).' Parassitologia. Roma 36 Suppl. 1: 83","(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",,,,,,,,,,
Giraffa camelopardalis,Strongylida,Cooperia punctata,Cooperiidae,Cooperia,Cooperia punctata,,1,South Africa,Ortlepp (1961a),,,,,,,,,,,,
Equus burchelli,Strongylida,"Delafondia asini (Boulenger, 1920)",Strongylidae,Strongylus,Strongylus asini,Delafondia asini,1,Ethiopia,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Delafondia asini (Boulenger, 1920)",Strongylidae,Strongylus,Strongylus asini,Strongylus asini,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Delafondia vulgaris (Looss, 1900)",Strongylidae,Strongylus,Strongylus vulgaris,Delafondia vulgaris,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Delafondia vulgaris (Looss, 1900)",Strongylidae,Strongylus,Strongylus asini,Delafondia vulgaris,2,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia rotundispiculum,Cooperiidae,Cooperia,Cooperia rotundispiculum,,1,South Africa,"(Boomker, J.,) (1991) 'Parasites of South African Wildlife. XI. Description of a new race of Cooperia rotundispiculum Gibbons & Khalil, 1980.' Onderstepoort Journal of Veterinary Research. Pretoria 58(4): 271-273 , 6 figs.",,,,,,,,,,,,
Equus asinus,Strongylida,"Dictyocaulus arnfieldi (Cobbold, 1884)",Trichostrongylidae,Dictyocaulus,Dictyocaulus arnfieldi,,14,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Dictyocaulus cameli Boev, 1951",Trichostrongylidae,Dictyocaulus,Dictyocaulus cameli,,3,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Dictyocaulus capreolus Gibbons & Hoglund, 2002",Trichostrongylidae,Dictyocaulus,Dictyocaulus capreolus,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Dictyocaulus eckerti Skrjabin, 1931",Trichostrongylidae,Dictyocaulus,Dictyocaulus eckerti,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Dictyocaulus filaria (Rudolphi, 1809)",Trichostrongylidae,Dictyocaulus,Dictyocaulus filaria,,1,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Dictyocaulus filaria (Rudolphi, 1809)",Trichostrongylidae,Dictyocaulus,Dictyocaulus filaria,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,Dictyocaulus sp.,Trichostrongylidae,Dictyocaulus,Dictyocaulus sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,Dictyocaulus spp.,Trichostrongylidae,Dictyocaulus,Dictyocaulus sp.,,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Dictyocaulus viviparus (Bloch, 1782)",Trichostrongylidae,Dictyocaulus,Dictyocaulus viviparus,,53,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Cooperia spp.,Cooperiidae,Cooperia,Cooperia sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,Cooperia spatula,Cooperiidae,Cooperia,Cooperia spatula,,1,,,,,,,,,,,,,,
Loxodonta africana,Strongylida,"Grammocephalus clathratus (Baird, 1868)",Ancyclostomatidae,Grammocephalus,Grammocephalus clathratus,Strongylus clathratus,12,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Baird (1868),Baylis (1923c),Chabaud and Rousselot (1956a),Khalil (1932),Lane (1921),Monnig (1926a),van den Berghe (1943),Vuylsteke (1935b),Vuysteke (1953),Vuylsteke (1956),Westhuysen (1938),
Equus burchelli,Strongylida,"Strongylus asini Boulenger, 1920  ",Strongylidae,Strongylus,Strongylus asini,,8,"South Africa, Tanzania, Rwanda, Ethiopia, Kenya, London Zoo, Giza Zoo","(Hung, G.-C., et al.,) (1996) 'Strongylus asini (Nematoda, Strongyloidea): genetic relationships with other Strongylus species determined by ribosomal DNA.' International Journal for Parasitology. Oxford 26(12): 1407-1411 , 3 figs, 1 tab.",Baylis (1923a),van den Berghe (1943),Ezzat (1945),LeRoux (1924),Ricci (1939),Round (1962a),Urquhart et al (1960),"Els, H. J., Malan, F. S. and R. C. Scialdo-Krecek (1983) Scanning electron microscopy of Strongylus spp. in zebra. Onderstepoort Journal of Veterinary Research, 50: 257-265.",,,,
Aepyceros melampus,Strongylida,"Dictyocaulus viviparus (Bloch, 1782)",Dictyocaulidae,Dictyocaulus,Dictyocaulus viviparus,,1,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,"Dictyocaulus africanus Gibbons & Khalil, 1988",Dictyocaulidae,Dictyocaulus,Dictyocaulus africanus,,1,Kenya,"(Gibbons, L.M. & Khalil, L.F.,) (1988) 'A revision of the genus Dictyocaulus Railliet & Henry, 1907 (Nematoda: Trichostrongyloidea) with the description of D. africanus n.sp. from African artiodactylids.' Revue de Zoologie africaine. Tervuren 102: 151-175 , 94 figs.",,,,,,,,,,,,
Equus burchelli,Strongylida,Dictyocaulus arnfieldi,Dictyocaulidae,Dictyocaulus,Dictyocaulus arnfieldi,Strongylus arnfieldi,1,South Africa,Monnig (1928),,,,,,,,,,,,
Oryx gazella,Strongylida,Dictyocaulus sp.,Dictyocaulidae,Dictyocaulus,Dictyocaulus sp.,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Bos taurus,Strongylida,Cooperia spatulata,Cooperiidae,Cooperia,Cooperia spatulata,,4,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia sp.,Cooperiidae,Cooperia,Cooperia sp.,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Dictyocaulus viviparus,Dictyocaulidae,Dictyocaulus,Dictyocaulus viviparus,,2,South Africa,Ortlepp (1961a),Ortlepp (1962a),,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia zurnabada Antipin, 1931",Cooperiidae,Cooperia,Cooperia zurnabada,,9,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia fuelleborni,Cooperiidae,Cooperia,Cooperia fuelleborni,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Equus burchelli,Strongylida,"Gyalocephalus capitatus Looss, 1900",Strongylidae,Gyalocephalus,Gyalocephalus capitatus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Gyalocephalus capitatus Looss, 1900",Strongylidae,Gyalocephalus,Gyalocephalus capitatus,,5,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia hungi,Cooperiidae,Cooperia,Cooperia hungi,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia neitzi,Cooperiidae,Cooperia,Cooperia neitzi,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Equus asinus,Strongylida,Gyalocephalus sp.,Strongylidae,Gyalocephalus,Gyalocephalus sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Gyalocephalus spp.,Strongylidae,Gyalocephalus,Gyalocephalus sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,42,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia yoshidai,Cooperiidae,Cooperia,Cooperia yoshidai,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Oryx gazella,Strongylida,Cooperia curticei,Cooperiidae,Cooperia,Cooperia curticei,,1,Johannesburg Zoo,LeRoux (1932),,,,,,,,,,,,
Madoqua saltiana,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,1,Somalia,"(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,9,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Haemonchus longistipes Railliet & Henry, 1909",Trichostrongylidae,Haemonchus,Haemonchus longistipes,,1,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Haemonchus longistipes Railliet & Henry, 1909",Trichostrongylidae,Haemonchus,Haemonchus longistipes,,15,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Haemonchus lunatus (Travassos, 1914)",Trichostrongylidae,Haemonchus,Haemonchus lunatus,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Haemonchus placei (Place, 1893)",Trichostrongylidae,Haemonchus,Haemonchus placei,,71,,,,,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Cooperia hungi Monnig, 1931",Cooperiidae,Cooperia,Cooperia hungi,,1,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.",,,,,,,,,,,,
Syncerus caffer,Strongylida,"Cooperia fuelleborni Hung, 1926",Cooperiidae,Cooperia,Cooperia fuelleborni,,2,"Zimbabwe, Uganda","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Dinnik et al. (1963),,,,,,,,,,,
Camelus dromedarius,Strongylida,"Haemonchus placei (Place, 1893)",Trichostrongylidae,Haemonchus,Haemonchus placei,,2,,,,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Gaigeria pachyscelis Railliet & Henry, 1910",Ancyclostomatidae,Gaigeria,Gaigeria pachyscelis,,6,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",Meeser (1952),Ortlepp (1961a),,,,,,,
Bos taurus,Strongylida,"Haemonchus placei argentinensis Guidici, Cabaret & Durette-Desset, 1999",Trichostrongylidae,Haemonchus,Haemonchus placei argentinensis ,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Haemonchus similis Travassos, 1914",Trichostrongylidae,Haemonchus,Haemonchus similis,,29,,,,,,,,,,,,,,
Bos taurus,Strongylida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,13,,,,,,,,,,,,,,
Bos taurus,Strongylida,Haemonchus spp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,5,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Haemonchus spp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,1,,,,,,,,,,,,,,
Syncerus caffer,Strongylida,"Cooperia hungi Monnig, 1931",Cooperiidae,Cooperia,Cooperia hungi,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Haemonchus bedfordi Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus bedfordi,,4,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",Meeser (1952),,,,,,,,,
Syncerus caffer,Strongylida,"Cooperia pectinata Ransom, 1907",Cooperiidae,Cooperia,Cooperia pectinata,,2,"Zimbabwe, Johannesburg Zoo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1930b),,,,,,,,,,,
Aepyceros melampus,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,8,"South Africa, Zimbabwe, Kenya","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.","Department of Veterinary Services, Kenya Laboratory Records, 1938",Meeser (1952),Ortlepp (1961a),,,,,
Aepyceros melampus,Strongylida,"Haemonchus krugeri Ortlepp, 1964",Trichostrongylidae,Haemonchus,Haemonchus krugeri,,3,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",Ortlepp (1964b),,,,,,,,,,
Aepyceros melampus,Strongylida,"Haemonchus lawrencei Sandground, 1933",Trichostrongylidae,Haemonchus,Haemonchus lawrencei,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
