Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Bos taurus,Strongylida,"Cooperia aserbaidjanica Mamedov, 1969",Cooperiidae,Cooperia,Cooperia aserbaidjanica,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia bisonis Cram, 1925",Cooperiidae,Cooperia,Cooperia bisonis,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia curticei (Giles, 1892)",Cooperiidae,Cooperia,Cooperia curticei,,5,,,,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperia curticei (Giles, 1892)",Cooperiidae,Cooperia,Cooperia curticei,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperia fuelleborni Hung, 1926",Cooperiidae,Cooperia,Cooperia fuelleborni,,4,"South Africa, Zimbabwe","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",Ortlepp (1961a),,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperia hungi Monnig, 1931",Cooperiidae,Cooperia,Cooperia hungi,,4,"South Africa, Zimbabwe","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",Meeser (1952),Monnig (1933a),Ortlepp (1961a),,,,,,
Aepyceros melampus,Strongylida,"Cooperia pectinata Ransom, 1907",Cooperiidae,Cooperia,Cooperia pectinata,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Cooperia rotundispiculum,Cooperiidae,Cooperia,Cooperia rotundispiculum,,1,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Cooperia neitzi,Cooperiidae,Cooperia,Cooperia neitzi,,1,NA,"Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia mcmasteri (Gordon, 1932)",Cooperiidae,Cooperia,Cooperia mcmasteri,,5,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia oncophora (Railliet, 1898)",Cooperiidae,Cooperia,Cooperia oncophora,,64,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Cooperia oncophora (Railliet, 1898)",Cooperiidae,Cooperia,Cooperia oncophora,,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia pectinata Ransom, 1907",Cooperiidae,Cooperia,Cooperia pectinata,,15,,,,,,,,,,,,,,
Aepyceros melampus,Strongylida,Cooperia sp.,Cooperiidae,Cooperia,Cooperia sp.,,1,"Uganda, South Africa, Zimbabwe","(Ocaido, M., Siefert, L. & Baranga, J.,) (1999) 'Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal egg counts through a one-year period.' African Journal of Ecology 37: 327-333 , 4 figs.","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperia yoshidai Monnig, 1939",Cooperiidae,Cooperia,Cooperia yoshidai,,3,"South Africa, Zimbabwe","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,
Camelus dromedarius,Strongylida,"Cooperia pectinata Ransom, 1907",Cooperiidae,Cooperia,Cooperia pectinata,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Cooperia punctata (Linstow, 1906)",Cooperiidae,Cooperia,Cooperia punctata,,35,,,,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Cooperia sp.,Cooperiidae,Cooperia,Cooperia sp.,,2,South Africa,"Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Cooperia oncophora,Cooperiidae,Cooperia,Cooperia oncophora,,1,Amsterdam Zoo,Swierstra et al (1959),,,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Cooperia pectinata,Cooperiidae,Cooperia,Cooperia pectinata,,1,South Africa,Ortlepp (1961a),,,,,,,,,,,,
Taurotragus oryx,Strongylida,Cooperia rotundispiculum,Cooperiidae,Cooperia,Cooperia rotundispiculum,,3,"South Africa, Zambia","(Boomker, J.,) (1991) 'Parasites of South African Wildlife. XI. Description of a new race of Cooperia rotundispiculum Gibbons & Khalil, 1980.' Onderstepoort Journal of Veterinary Research. Pretoria 58(4): 271-273 , 6 figs.","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",,,,,,,,,,
Bos taurus,Strongylida,Cooperia sarnabada,Cooperiidae,Cooperia,Cooperia sarnabada,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,Cooperia sp.,Cooperiidae,Cooperia,Cooperia sp.,,17,,,,,,,,,,,,,,
Bos taurus,Strongylida,Cooperia spp.,Cooperiidae,Cooperia,Cooperia sp.,,7,,,,,,,,,,,,,,
Nanger granti,Strongylida,"Cooperioides antidorca Monnig, 1931",Cooperiidae,Cooperioides,Cooperioides antidorca,,1,Kenya,"Appleby, E. C., L. M. Gibbons, et al. (1992). ""Cooperioides antidorca from intestinal nodules in Gazella thomsoni and Gazella granti in Kenya."" Journal of Comparative Pathology 107(3): 295-303.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperioides hamiltoni (Monnig, 1932)",Cooperiidae,Cooperioides,Cooperioides sp.,,1,Zambia,"Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Cooperioides hamiltoni (Monnig, 1932)",Cooperiidae,Cooperioides,Cooperioides hamiltoni,Cooperia hamiltoni,11,"South Africa, Zimbabwe, Kenya","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"(Anderson, I.G.,) (1992) 'Observations on the life-cycles and larval morphogenesis of, and transmission experiments with Cooperioides hamiltoni and Cooperioides hepaticae (Nematoda: Trichostrongyloidea) parasitic in impala, Aepyceros melampus.' South African Journal of Zoology. Pretoria 27(2): 81-88 , 6 figs, 5 tabs.","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",Meeser (1952),Monnig (1932b),Monnig (1933a),Ortlepp (1961a),Round (Original),,
Aepyceros melampus,Strongylida,"Cooperioides hepaticae Ortlepp, 1938",Cooperiidae,Cooperioides,Cooperioides hepaticae,,7,"South Africa, Zimbabwe, Swaziland","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.","(Anderson, I.G.,) (1992) 'Observations on the life-cycles and larval morphogenesis of, and transmission experiments with Cooperioides hamiltoni and Cooperioides hepaticae (Nematoda: Trichostrongyloidea) parasitic in impala, Aepyceros melampus.' South African Journal of Zoology. Pretoria 27(2): 81-88 , 6 figs, 5 tabs.","(Pletcher, J.M., et al.,) (1988) 'Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park.' Journal of Wildlife Diseases. Ames, Iowa 24(4): 650-655 , 3 figs. 1 tab.","(Gallivan, G.J., et al.,) (1996) 'Prevalence of hepatic helminths and associated pathology in impala (Aepyceros melampus) in Swaziland.' Journal of Wildlife Diseases. Ames, Iowa 32(1): 137-141 , 1 fig., 1 tab.","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",Meeser (1952),Ortlepp (1938d),Ortlepp (1961a),,,
Bos taurus,Strongylida,Cooperioides kenyensis,Cooperiidae,Cooperioides,Cooperioides kenyensis,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Coronocyclus aegyptiacus (Looss, 1900)",Strongylidae,Coronocyclus,Coronocyclus aegyptiacus,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Coronocyclus coronatus (Looss, 1900)",Strongylidae,Coronocyclus,Coronocyclus coronatus,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Coronocyclus labiatus (Looss, 1900)",Strongylidae,Coronocyclus,Coronocyclus labiatus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Coronocyclus labiatus (Looss, 1900)",Strongylidae,Coronocyclus,Coronocyclus labiatus,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Coronocyclus labratus (Looss, 1900)",Strongylidae,Coronocyclus,Coronocyclus labratus,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Craterostomum acuticaudatum (Kotlan, 1919)",Strongylidae,Craterostomum,Craterostomum acuticaudatum,"Cylicostomum acuticaudatum, Craterostomum mucronatum, Craterostomum tenuicauda, Cylicostomum mucronatum)",3,"South Africa, Kenya","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Monnig (1928),Round (Original),,,,,,,,,,
Equus asinus,Strongylida,"Craterostomum acuticaudatum (Kotlan, 1919)",Strongylidae,Craterostomum,Craterostomum acuticaudatum,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Craterostomum tenuicauda Boulenger, 1920",Strongylidae,Craterostomum,Craterostomum tenuicauda,,1,Ethiopia,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum aegyptiacum Railliet, 1923",Strongylidae,Cyathostomum,Cyathostomum aegyptiacum,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum alveatum Looss, 1900",Strongylidae,Cyathostomum,Cyathostomum alveatum,,6,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum catinatum Looss, 1900",Strongylidae,Cyathostomum,Cyathostomum catinatum,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum coronatum Looss, 1900",Strongylidae,Cyathostomum,Cyathostomum coronatum,,5,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum hybridum (Kotlan, 1920)",Strongylidae,Cyathostomum,Cyathostomum hybridum,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum labiatum (Looss, 1901)",Strongylidae,Cyathostomum,Cyathostomum labiatum,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum labratum Looss, 1900",Strongylidae,Cyathostomum,Cyathostomum labratum,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum leptostomum Kotlan, 1920",Strongylidae,Cyathostomum,Cyathostomum leptostomum,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum longibursatum Yorke & Macfie, 1918",Strongylidae,Cyathostomum,Cyathostomum longibursatum,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cyathostomum montgomeryi (Boulenger, 1920)",Strongylidae,Cyathostomum,Cyathostomum montgomeryi,Cylicostomum montgomeryi,4,"Zimbabwe, Namibia, South Africa, Kenya","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Kharchenko, V.A., et al.,) (1997) 'A redescription of Cylicocyclus triramosus (Nematoda: Strongyloidea): a parasite of the zebra, Equus burchelli antiquorum.' Journal of Parasitology. Urbana, Ill. 83(5): 922-926 , 17 figs, 1 tab.","Kharchenko, V., A., J. R. Lichtenfels, et al. (2001). ""Cyathostomum montgomeryi and its place in the Cyathostominae (Nematoda: Strongylidae)."" Comparative Parasitology 68(1): 97-102.","Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum montgomeryi (Boulenger, 1920)",Strongylidae,Cyathostomum,Cyathostomum montgomeryi,,4,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum pateratum (Yorke & Macfie, 1919)",Strongylidae,Cyathostomum,Cyathostomum pateratum,,4,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum radiatum Looss, 1900",Strongylidae,Cyathostomum,Cyathostomum radiatum,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum sagittatum (Kotlan, 1920)",Strongylidae,Cyathostomum,Cyathostomum sagittatum,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Cyathostomum sp.,Strongylidae,Cyathostomum,Cyathostomum sp.,,2,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Cyathostomum tetracanthum (Mehlis, 1831)",Strongylidae,Cyathostomum,Cyathostomum tetracanthum,"Cylicostomum tetracanthum, trichonema aegyptiacum",3,"South Africa, Zambia","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Monnig (1928),LeRoux (1932),,,,,,,,,,
Equus asinus,Strongylida,"Cyathostomum tetracanthum (Mehlis, 1831)",Strongylidae,Cyathostomum,Cyathostomum tetracanthum,,8,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cyathostomum alveatum,Strongylidae,Cyathostomum,Cyathostomum alveatum,,2,"Zambia, South Africa",LeRoux (1932),Monnig (1928),,,,,,,,,,,
Equus burchelli,Strongylida,Cyathostomum coronatum,Strongylidae,Cyathostomum,Cyathostomum coronatum,,1,South Africa,Monnig (1928),,,,,,,,,,,,
