Syncerus caffer
Tragelaphus sylvaticus
Camelus dromedarius
Bos taurus
Madoqua kirkii
Equus asinus
Taurotragus oryx
Loxodonta africana
Giraffa camelopardalis
Nanger granti
Equus grevyi
Alcelaphus buselaphus
Hippopotamus amphibius
Aepyceros melampus
Tragelaphus strepsiceros
Oryx beisa
Equus quagga
Phacochoerus africanus
Kobus ellipsiprymnus
