"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/21/2016",0,"Pre","CONT","Jericho","B",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,150,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,352.899217072167,0,0,0,0,352.899217072167
"9/21/2016",0,"Pre","CONT","Jericho","C",0,0,0,0,0,0,128,0,4.752,0,0,0,0,0,0,0,0,152.548463371891,19526.203311602,0,0,140.283045829943,666.625033783888,0,0,0,0,0,0,20192.8283453859
"9/21/2016",0,"Pre","CONT","Jericho","C",0,10,0,0,0,0,0,0,27.72,0,0,0,1,0,0,0,0,0,0,0,0,140.283045829943,3888.64603040602,0,0,0,0,0,0,3888.64603040602
"9/21/2016",0,"Pre","CONT","Jericho","C",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,40,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.30828598671,160.781965910431,0,0,160.781965910431
"9/21/2016",0,"Pre","CONT","Jericho","C",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
