Host	Parasite	Reference	Is Prevalence Reported?	Is Prevalence Zero?
Kobus ellipsiprymnus	Cooperia hungi	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Raphicerus campestris	Paracooperia serrata	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Cephalophus natalensis	Cooperia rotundispiculum	Boomker, J., Keep, M. E., Flamand, J. R. and I. G. Horak (1984) The helminths of various antelope species from Natal. Onderstepoort Journal of Veterinary Research, 51: 253-256	yes	no
Bison bonasus	Cooperia pectinata	Drozdz, J., A. W. Demiaszkiewicz, et al. (1989a). "The Helminth Fauna of Free-Ranging European Bison Bison bonasus (L.)" Acta Parasitologica Polonica 34(2): 117-124.	yes	no
Sylvicapra grimmia	Cooperia	Boomker, J., du Plessis, W. H. and E. A. Boomker (1983) Some helminths and arthropod parasites of the grey duiker, Sylvicapra grimmia. Onderstepoort Journal of Veterinary Medicine, 50: 233-241.	yes	no
Kobus ellipsiprymnus	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Damaliscus lunatus	Cooperia hungi	Reinecke, R. K., R. C. Krecek, et al. (1988). "Helminth Parasites from Tsessebes at Nylsvley Nature Reserve Transvaal South Africa." South African Journal of Wildlife Research 18(3): 73-77.	yes	no
Oryx gazella	Cooperia yoshidai	Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.	yes	no
Bison bonasus	Cooperia punctata	Drozdz, J., W. Demiaszkiewicz Aleksander, et al. (1994). "The helminth fauna of free-ranging European bison, Bison bonasus (L.), studied again 8 years after reduction of bisons, in the Bialowieza Forest." Acta Parasitologica 39(2): 88-91.	yes	no
Ourebia ourebi	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Axis axis	Cooperia punctata	McKenzie, M. E. and W. R. Davidson (1989). "Helminth Parasites of Intermingling Axis Deer, Wild Swine and Domestic Cattle from the Island of Molokai, Hawaii USA." Journal of Wildlife Diseases 25(2): 252-257.	yes	no
Antidorcas marsupialis	Paracooperia serrata	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Cephalophus natalensis	Cooperia yoshidai	Boomker, J., I. G. Horak, et al. (1991). "Parasites of South African Wildlife X. Helminths of Red Duikers Cephalophus natalensis in Natal." Onderstepoort Journal of Veterinary Research 58(3): 205-210.	yes	no
Tragelaphus scriptus	Cooperia	Boomker, J., Keep, M. E. and I. G. Horak (1987) Parasites of South African wildlife. I. Helminths of bushbuck, Tragelaphus scriptus, and grey duiker, Sylvicapra grimmia, from the Weza State Forest, Natal. Onderstepoort Journal of Veterinary Research, 54: 131-134.	yes	no
Tragelaphus strepsiceros	Cooperia rotundispiculum	Boomker, J., Horak, I. G., and M. M. Knight (1991) Parasites of South African wildlife. IX. Helminths of kudu, Tragelaphus strepsiceros, in the Eastern Cape Province. Onderstepoort Journal of Veterinary Research, 58: 203-204.	yes	no
Antidorcas marsupialis	Cooperia rotundispiculum	Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41	yes	no
Bison bonasus	Cooperia punctata	Drozdz, J., A. W. Demiaszkiewicz, et al. (1989a). "The Helminth Fauna of Free-Ranging European Bison Bison bonasus (L.)" Acta Parasitologica Polonica 34(2): 117-124.	yes	no
Ourebia ourebi	Cooperia yoshidai	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Neotragus moschatus	Cooperia rotundispiculum	Boomker, J., Booyse, D.G., Braack, L.E.O. (1991) Parasites of South African wildlife: VII. Helminths of Suni, Neotragus moschatus, in Natal. Onderstepoort Journal of Veterinary Research, 58 (1) 15-16	yes	no
Alcelaphus buselaphus	Cooperia	Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74	no	no
Aepyceros melampus	Cooperia hungi	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Redunca arundinum	Cooperia hungi	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Kobus ellipsiprymnus	Cooperia fuelleborni	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Oryx gazella	Paracooperia serrata	Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.	yes	no
Sylvicapra grimmia	Cooperia neitzi	Boomker, J., du Plessis, W. H. and E. A. Boomker (1983) Some helminths and arthropod parasites of the grey duiker, Sylvicapra grimmia. Onderstepoort Journal of Veterinary Medicine, 50: 233-241.	yes	no
Tragelaphus scriptus	Paracooperia devossi	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Cephalophus monticola	Cooperia rotundispiculum	Boomker, J., Booyse, D. G., and M. E. Keep (1991) Parasites of South African Willdife. VI. Helminths of Blue Duikers, Cephalophus monticola, in Natal. Onderstepoort Journal of Veterinary Research, 58: 11-13.	yes	no
Tragelaphus scriptus	Paracooperia devossi	Boomker, J and S. A. Kingsley (1984) Paracooperia devossi n. sp (Nematoda: Trichostrongylidae) from the bushbuck, Tragelaphus scriptus (Pallas, 1766). Onderstepoort Journal of Veterinary Research, 51: 21-24	yes	no
Neotragus moschatus	Megacooperia woodfordi	Boomker, J., Booyse, D.G., Braack, L.E.O. (1991) Parasites of South African wildlife: VII. Helminths of Suni, Neotragus moschatus, in Natal. Onderstepoort Journal of Veterinary Research, 58 (1) 15-16	yes	no
Odocoileus virginianus	Cooperia	Waid, D. D., D. B. Pence, et al. (1985). "Effects of Season and Physical Condition on the Gastrointestinal Helminth Community of White-Tailed Deer Odocoileus-Virginianus from the Texas Edwards Plateau USA." Journal of Wildlife Diseases 21(3): 264-273.	yes	no
Aepyceros melampus	Cooperia neitzi	Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253	yes	no
Sylvicapra grimmia	Cooperia hungi	Boomker, J., du Plessis, W. H. and E. A. Boomker (1983) Some helminths and arthropod parasites of the grey duiker, Sylvicapra grimmia. Onderstepoort Journal of Veterinary Medicine, 50: 233-241.	yes	no
Tragelaphus scriptus	Paracooperia devossi	Boomker, J., Keep, M. E., Flamand, J. R. and I. G. Horak (1984) The helminths of various antelope species from Natal. Onderstepoort Journal of Veterinary Research, 51: 253-256	yes	no
Tragelaphus strepsiceros	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Oryx gazella	Paracooperia serrata	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Oryx gazella	Cooperia fuelleborni	Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.	yes	no
